Vantage Country,Domain,IP,Server Country,,,,Unique countries,Total domains,Domains hosted int,% Int
AE,moi.gov.ae,151.253.150.39,AE,,,,AE,19,0,0
AE,space.gov.ae,91.74.123.224,AE,,,,AL,16,10,0.625
AE,fatwauae.gov.ae,46.31.70.143,AE,,,,AR,106,16,0.150943396
AE,tax.gov.ae,94.203.46.31,AE,,,,AU,70,7,0.1
AE,fgic.gov.ae,185.54.19.146,AE,,,,BA,20,10,0.5
AE,scmc.gov.ae,213.42.167.86,AE,,,,BD,59,8,0.13559322
AE,gpssa.gov.ae,185.54.18.52,AE,,,,BE,138,37,0.268115942
AE,mohap.gov.ae,185.54.16.190,AE,,,,BG,20,0,0
AE,mof.gov.ae,94.206.116.53,AE,,,,BO,43,16,0.372093023
AE,moiat.gov.ae,46.31.70.147,AE,,,,BR,39,1,0.025641026
AE,uaecabinet.ae,104.26.6.231,AE,,,,CA,30,2,0.066666667
AE,icp.gov.ae,5.195.50.132,AE,,,,CH,3,0,0
AE,gas.gov.ae,151.253.0.211,AE,,,,CL,129,19,0.147286822
AE,diwan.gov.ae,5.195.39.90,AE,,,,CN,205,49,0.23902439
AE,nla.ae,5.195.41.53,AE,,,,CR,48,19,0.395833333
AE,mod.gov.ae,94.56.224.91,AE,,,,CZ,4,0,0
AE,emiratesrc.ae,5.195.5.251,AE,,,,DE,33,1,0.03030303
AE,hct.ac.ae,31.29.65.190,AE,,,,DK,56,27,0.482142857
AE,mcy.gov.ae,185.141.13.49,AE,,,,DZ,22,2,0.090909091
AL,arsimi.gov.al,45.223.26.62,NL,,,,EE,40,1,0.025
AL,turizmi.gov.al,45.223.26.62,NL,,,,EG,16,4,0.25
AL,bujqesia.gov.al,45.223.26.62,NL,,,,ES,24,2,0.083333333
AL,shendetesia.gov.al,45.223.26.62,NL,,,,FR,11,2,0.181818182
AL,punetejashtme.gov.al,45.223.26.62,NL,,,,GB,84,9,0.107142857
AL,sipermarrja.gov.al,45.223.26.62,NL,,,,GE,16,1,0.0625
AL,mjekesialigjore.gov.al,78.47.67.219,DE,,,,GR,23,7,0.304347826
AL,albrail.al,185.53.100.71,AL,,,,HU,37,5,0.135135135
AL,oshee.al,79.106.166.6,AL,,,,ID,23,1,0.043478261
AL,ata.gov.al,172.67.140.245,AL,,,,IL,20,2,0.1
AL,amp.gov.al,176.57.184.79,DE,,,,IN,152,1,0.006578947
AL,akf.gov.al,185.53.100.180,AL,,,,IT,6,1,0.166666667
AL,akshi.gov.al,134.0.42.170,AL,,,,JP,80,6,0.075
AL,aapsk.gov.al,104.21.14.132,AL,,,,KR,1101,2,0.00181653
AL,albpetrol.al,162.241.226.214,US,,,,KZ,8,0,0
AL,ksu.al,195.201.229.182,DE,,,,LV,72,8,0.111111111
